Krum Server | DEBUG flwr 2024-03-20 13:33:28,546 | server.py:222 | fit_round 20: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:29,110 | server.py:236 | fit_round 20 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:29,431 | server.py:125 | fit progress: (20, 0.8315174834662843, {'accuracy': 0.5969}, 48.53039298392832)
Krum Server | DEBUG flwr 2024-03-20 13:33:29,431 | server.py:173 | evaluate_round 20: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:30,157 | server.py:187 | evaluate_round 20 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:30,157 | server.py:222 | fit_round 21: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:30,712 | server.py:236 | fit_round 21 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:30,982 | server.py:125 | fit progress: (21, 0.8484804052750247, {'accuracy': 0.6023}, 50.08185511897318)
Krum Server | DEBUG flwr 2024-03-20 13:33:30,983 | server.py:173 | evaluate_round 21: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:31,715 | server.py:187 | evaluate_round 21 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:31,716 | server.py:222 | fit_round 22: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:32,300 | server.py:236 | fit_round 22 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:32,624 | server.py:125 | fit progress: (22, 0.832125896345386, {'accuracy': 0.6018}, 51.72383884899318)
Krum Server | DEBUG flwr 2024-03-20 13:33:32,625 | server.py:173 | evaluate_round 22: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:33,395 | server.py:187 | evaluate_round 22 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:33,396 | server.py:222 | fit_round 23: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:33,969 | server.py:236 | fit_round 23 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:34,278 | server.py:125 | fit progress: (23, 0.8352850505124443, {'accuracy': 0.5991}, 53.377366067958064)
Krum Server | DEBUG flwr 2024-03-20 13:33:34,279 | server.py:173 | evaluate_round 23: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:35,023 | server.py:187 | evaluate_round 23 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:35,023 | server.py:222 | fit_round 24: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:35,602 | server.py:236 | fit_round 24 received 190 results and 0 failures
