Krum Server | INFO flwr 2024-03-10 15:12:20,438 | server.py:125 | fit progress: (30, 0.816008924227619, {'accuracy': 0.6079}, 6.084004959997401)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,439 | server.py:173 | evaluate_round 30: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,478 | server.py:187 | evaluate_round 30 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:20,478 | server.py:222 | fit_round 31: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,604 | server.py:236 | fit_round 31 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:20,629 | server.py:125 | fit progress: (31, 0.8168228120188598, {'accuracy': 0.6038}, 6.275257241999498)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,632 | server.py:173 | evaluate_round 31: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,677 | server.py:187 | evaluate_round 31 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:20,678 | server.py:222 | fit_round 32: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,795 | server.py:236 | fit_round 32 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:20,818 | server.py:125 | fit progress: (32, 0.8151356507184715, {'accuracy': 0.6055}, 6.4640147919999436)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,819 | server.py:173 | evaluate_round 32: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,861 | server.py:187 | evaluate_round 32 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:20,862 | server.py:222 | fit_round 33: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,985 | server.py:236 | fit_round 33 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,006 | server.py:125 | fit progress: (33, 0.816367670387133, {'accuracy': 0.6036}, 6.652294269999402)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,009 | server.py:173 | evaluate_round 33: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,075 | server.py:187 | evaluate_round 33 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,075 | server.py:222 | fit_round 34: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,211 | server.py:236 | fit_round 34 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,229 | server.py:125 | fit progress: (34, 0.8149490992478798, {'accuracy': 0.6053}, 6.8743063649999385)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,229 | server.py:173 | evaluate_round 34: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,262 | server.py:187 | evaluate_round 34 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,263 | server.py:222 | fit_round 35: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,379 | server.py:236 | fit_round 35 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,395 | server.py:125 | fit progress: (35, 0.815770297596822, {'accuracy': 0.6046}, 7.040337927999644)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,395 | server.py:173 | evaluate_round 35: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,435 | server.py:187 | evaluate_round 35 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,435 | server.py:222 | fit_round 36: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,553 | server.py:236 | fit_round 36 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,579 | server.py:125 | fit progress: (36, 0.8148335659980676, {'accuracy': 0.6071}, 7.224615228999028)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,580 | server.py:173 | evaluate_round 36: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,623 | server.py:187 | evaluate_round 36 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,624 | server.py:222 | fit_round 37: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,761 | server.py:236 | fit_round 37 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,783 | server.py:125 | fit progress: (37, 0.8152555050806808, {'accuracy': 0.6052}, 7.428485002998059)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,784 | server.py:173 | evaluate_round 37: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,815 | server.py:187 | evaluate_round 37 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,816 | server.py:222 | fit_round 38: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,934 | server.py:236 | fit_round 38 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:21,955 | server.py:125 | fit progress: (38, 0.815121103970948, {'accuracy': 0.6081}, 7.6006082649983)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,956 | server.py:173 | evaluate_round 38: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:21,997 | server.py:187 | evaluate_round 38 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:21,997 | server.py:222 | fit_round 39: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,119 | server.py:236 | fit_round 39 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:22,136 | server.py:125 | fit progress: (39, 0.8161146239296706, {'accuracy': 0.6031}, 7.781344021997938)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,136 | server.py:173 | evaluate_round 39: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,177 | server.py:187 | evaluate_round 39 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:22,178 | server.py:222 | fit_round 40: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,299 | server.py:236 | fit_round 40 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:22,323 | server.py:125 | fit progress: (40, 0.8150740776348178, {'accuracy': 0.6049}, 7.968411563997506)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,324 | server.py:173 | evaluate_round 40: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,364 | server.py:187 | evaluate_round 40 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:22,365 | server.py:222 | fit_round 41: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,480 | server.py:236 | fit_round 41 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:22,497 | server.py:125 | fit progress: (41, 0.814904550053224, {'accuracy': 0.6088}, 8.142661608999333)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,497 | server.py:173 | evaluate_round 41: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:22,537 | server.py:187 | evaluate_round 41 received 3 results and 0 failures
